"","URL","Industry","Company","YearEstablished","Employees","Revenue_DKK","EBITA_DKK","Address","Lat","Long"
"41","https://www.proff.dk/firma/azanta-danmark-as/valby/bioteknologi/0F1EYFI0225/","Biotechnology","AZANTA DANMARK A/S",2000,2,176299000,176747000,"Kirsten Walthers Vej 8 A 2, 2500 Valby",12.5130492,55.6587585
"42","https://www.proff.dk/firma/bioneer-as/h%C3%B8rsholm/bioteknologi/0GBGQ9I0225/","Biotechnology","BIONEER A/S",2003,73,133577000,91880000,"Kogle Alle 2, 2970 Hørsholm",12.49639,55.869304
"43","https://www.proff.dk/firma/glycom-as/h%C3%B8rsholm/bioteknologi/0GZ4CPI0225/","Biotechnology","GLYCOM A/S",2005,54,123707000,17484000,"Kogle Alle 4, 2970 Hørsholm",12.495566,55.870343
"44","https://www.proff.dk/firma/y-mabs-therapeutics-as/h%C3%B8rsholm/bioteknologi/0M26SUI0225/","Biotechnology","Y-mAbs Therapeutics A/S",2015,97,82434000,-1202000,"Agern Alle 11, 2970 Hørsholm",12.49382,55.871012
"45","https://www.proff.dk/firma/sophion-bioscience-as/ballerup/bioteknologi/05YSAXI0225/","Biotechnology","SOPHION BIOSCIENCE A/S",2000,45,98346000,45179000,"Baltorpvej 154, 2750 Ballerup",12.345387,55.729492
"46","https://www.proff.dk/firma/nbcd-as/herlev/bioteknologi/0I7HKUI0225/","Biotechnology","NBCD A/S",2007,39,59689000,51715000,"Herlev Hovedgade 82, 2730 Herlev",12.445685,55.721845
"47","https://www.proff.dk/firma/evosep-aps/odense-c/bioteknologi/0MBYYCI0225/","Biotechnology","Evosep ApS",2016,28,36908000,21139000,"Buchwaldsgade 35 3, 5000 Odense C",10.389119,55.406401
"48","https://www.proff.dk/firma/pharmaceutical-research-associates-denmark-aps/k%C3%B8benhavn-v/bioteknologi/0JSIC8I0225/","Biotechnology","PHARMACEUTICAL RESEARCH ASSOCIATES DENMARK ApS",2010,52,34746000,2637000,"Havneholmen 29, 1561 København V",12.56439,55.661851
"49","https://www.proff.dk/firma/savara-aps/hellerup/bioteknologi/0METVNI0225/","Biotechnology","Savara ApS",2016,5,29197000,37538000,"Tuborg Boulevard 12 4, 2900 Hellerup",12.5765281,55.7267905
"50","https://www.proff.dk/firma/minerva-imaging-aps/%C3%B8lstykke/bioteknologi/0KAEK2I0225/","Biotechnology","MINERVA IMAGING ApS",2011,62,28061000,12757000,"Lyshøjvej 21, 3650 Ølstykke",12.141596,55.768135
"51","https://www.proff.dk/firma/syneos-health-denmark-aps/s%C3%B8borg/bioteknologi/0L33T2I0225/","Biotechnology","Syneos Health Denmark ApS",2013,25,22872000,1324000,"Knud Højgaards Vej 9, 2860 Søborg",12.473623,55.732511
"52","https://www.proff.dk/firma/vipergen-aps/k%C3%B8benhavn-v/bioteknologi/0H6E5QI0225/","Biotechnology","VIPERGEN ApS",2005,15,3128000,-6355000,"Gammel Kongevej 23 A 1, 1610 København V",12.556046,55.673666
"53","https://www.proff.dk/firma/housetest-aps/odense-c/bioteknologi/0K5UQ6I0225/","Biotechnology","HOUSETEST ApS",2011,3,3053000,1242000,"Petersmindevej 1 A, 5000 Odense C",9.519281,55.722249
"54","https://www.proff.dk/firma/next-stage-ventures-aps/humleb%C3%A6k/bioteknologi/0MC5XJI0225/","Biotechnology","Next Stage Ventures ApS",2016,3,2889000,17473000,"Gl Strandvej 250, 3050 Humlebæk",12.530381,55.948989
"55","https://www.proff.dk/firma/toft-plantefor%C3%A6dling-aps/roslev/bioteknologi/0EYQO2I0225/","Biotechnology","TOFT PLANTEFORÆDLING ApS",1999,1,2741000,2609000,"Smedevej 1, 7870 Roslev",8.927115,56.713622
"56","https://www.proff.dk/firma/bioscavenge-aps/g%C3%B8rlev/bioteknologi/0MVO7CI0225/","Biotechnology","BioScavenge ApS",2017,3,2620000,1319000,"Algade 2 D, 4281 Gørlev",11.225405,55.5401685
"57","https://www.proff.dk/firma/abtbioconsult-aps/hiller%C3%B8d/bioteknologi/0P83V8I0225/","Biotechnology","AbtBioConsult ApS",2021,1,2513000,-736000,"Lille Sverige Vej 7 A, 3400 Hillerød",12.3357317,55.9033363
"58","https://www.proff.dk/firma/river-stone-biotech-aps/k%C3%B8benhavn-%C3%B8/bioteknologi/0NAMDLI0225/","Biotechnology","River Stone Biotech ApS",2017,23,2477000,-11939000,"Fruebjergvej 3, 2100 København Ø",12.549398,55.715679
"59","https://www.proff.dk/firma/ranger-biotechnologies-as/odense-s%C3%B8/bioteknologi/0J7VPWI0225/","Biotechnology","Ranger Biotechnologies A/S",2009,10,2429000,0,"C.F. Tietgens Boulevard 30 A st th, 5220 Odense SØ",NA,NA
"60","https://www.proff.dk/firma/livag-aps/vedb%C3%A6k/bioteknologi/0NZ5PUI0225/","Biotechnology","LIVAG ApS",2019,1,2274000,112000,"Udsigten 9, 2950 Vedbæk",12.549983,55.859015
"61","https://www.proff.dk/firma/cmcassist-aps/k%C3%B8benhavn-n/bioteknologi/0MJ9WTI0225/","Biotechnology","CMCassist ApS",2016,5,2245000,296000,"Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
