"","URL","Industry","Company","YearEstablished","Employees","Revenue_DKK","EBITA_DKK","Address"
"5110","https://www.proff.dk/firma/biostata-aps/birker%C3%B8d/tekniske-konsulenter/1HIXUFI01OU/","Technical Consultants","BIOSTATA ApS",1982,14,13329000,624000,"Bregnerødvej 132 1, 3460 Birkerød"
"5422","https://www.proff.dk/firma/danish-biomass-combustion-aps/helsing%C3%B8r/tekniske-konsulenter/0N92U0I01OU/","Technical Consultants","DANISH BIOMASS COMBUSTION ApS",2017,1,2246000,881000,"Rahbeksvej 1, 3000 Helsingør"
"5589","https://www.proff.dk/firma/bio-aqua-as/frederikssund/tekniske-konsulenter/0EEY1WI01OU/","Technical Consultants","Bio-Aqua A/S",1999,3,1439000,64000,"Strøbjergvej 29, 3600 Frederikssund"
"5858","https://www.proff.dk/firma/biosyntia-aps/k%C3%B8benhavn-%C3%B8/tekniske-konsulenter/0KRVL6I01OU/","Technical Consultants","BIOSYNTIA ApS",2012,18,818000,-11972000,"Fruebjergvej 3, 2100 København Ø"
"6024","https://www.proff.dk/firma/biofuel-technology-as/eg%C3%A5/tekniske-konsulenter/0JVA17I01OU/","Technical Consultants","BIOFUEL TECHNOLOGY A/S",2010,1,562000,439000,"Bredkær Parkvej 58, 8250 Egå"
"6037","https://www.proff.dk/firma/bo-bio-consult-aps/sk%C3%A6vinge/tekniske-konsulenter/0M00GKI01OU/","Technical Consultants","Bo Bio Consult ApS",2015,1,539000,66000,"Hovedgaden 2, 3320 Skævinge"
"6235","https://www.proff.dk/firma/mplu-biorefining-aps/kgs.-lyngby/tekniske-konsulenter/0N3XEBI01OU/","Technical Consultants","MPLU Biorefining Aps",2017,NA,281000,278000,"Langs Hegnet 18 B, 2800 Kgs. Lyngby"
"6457","https://www.proff.dk/firma/bio-energy-consultants-aps/s%C3%B8borg/tekniske-konsulenter/0HR8JUI01OU/","Technical Consultants","BIO ENERGY CONSULTANTS ApS",2006,1,87000,77000,"Marienborg Alle 49, 2860 Søborg"
"6464","https://www.proff.dk/firma/biotech-pro-aps/taastrup/tekniske-konsulenter/0MEJZCI01OU/","Technical Consultants","Biotech Pro ApS",2016,NA,85000,82000,"Kirkestien 23, 2630 Taastrup"
"6592","https://www.proff.dk/firma/biowitt-aps/ribe/tekniske-konsulenter/0JHXENI01OU/","Technical Consultants","BIOWITT ApS",2010,1,26000,22000,"Lustrupvej 18, 6760 Ribe"
"6630","https://www.proff.dk/firma/bio-text-holding-aps/hinnerup/tekniske-konsulenter/0EXG41I01OU/","Technical Consultants","BIO / TEXT HOLDING ApS",1999,NA,13000,2000,"Vegavej 8, 8382 Hinnerup"
"6828","https://www.proff.dk/firma/bioptimate-aps/birker%C3%B8d/tekniske-konsulenter/0LGP9RI01OU/","Technical Consultants","BIOPTIMATE ApS",2014,NA,-63000,-65000,"Pilehøj 18, 3460 Birkerød"
"6846","https://www.proff.dk/firma/larsen-biofuels-aps/slagelse/tekniske-konsulenter/0L2SNHI01OU/","Technical Consultants","LARSEN BIOFUELS ApS",2013,NA,-58000,-51000,"Stillingevej 33, 4200 Slagelse"
