"","URL","Industry","Company","YearEstablished","Employees","Revenue_DKK","EBITA_DKK","Address"
"5661","https://www.proff.dk/firma/nopa-nordic-as/hobro/kemikalier-og-kemiske-varer/GRAXSKI00PQ/","Chemical Technologies","Nopa Nordic A/S",2006,171,150540000,52015000,"Havrevænget 13, 9500 Hobro"
"5671","https://www.proff.dk/firma/midsona-danmark-as/mariager/kemikalier-og-kemiske-varer/GS0F5AI00PQ/","Chemical Technologies","Midsona Danmark A/S",2008,106,98853000,27874000,"Klostermarken 20, 9550 Mariager"
"5681","https://www.proff.dk/firma/woca-denmark-as/lunderskov/kemikalier-og-kemiske-varer/GS1PSQI00PQ/","Chemical Technologies","Woca Denmark A/S",2008,NA,62455000,23913000,"Tværvej 6, 6640 Lunderskov"
"5691","https://www.proff.dk/firma/haldor-tops%C3%B8e-as-katalysator-divisionen/frederikssund/kemikalier-og-kemiske-varer/GS6MNYI00PQ/","Chemical Technologies","Haldor Topsøe A/S Katalysator-Divisionen",2008,6,2.789e+09,5.49e+08,"Centervej 11, 3600 Frederikssund"
"5701","https://www.proff.dk/firma/b-b/hals/kemikalier-og-kemiske-varer/GSII1CI00PQ/","Chemical Technologies","B &amp; B",NA,0,0,NA,"Sogneparken 4, st., 9370 Hals"
"5711","https://www.proff.dk/firma/air-liquide-danmark-as/hedensted/kemikalier-og-kemiske-varer/GSRF43I00PQ/","Chemical Technologies","Air Liquide Danmark A/S",2010,NA,146819000,14075000,"Frejasvej 2, 8722 Hedensted"
"5721","https://www.proff.dk/firma/polar-as/skanderborg/kemikalier-og-kemiske-varer/GSZ250I00PQ/","Chemical Technologies","Polar A/S",2010,NA,13107000,6408000,"Hylkevej 31, 8660 Skanderborg"
"5731","https://www.proff.dk/firma/allison-as/esbjerg-%C3%B8/kemikalier-og-kemiske-varer/GSZAWMI00PQ/","Chemical Technologies","Allison A/S",2010,28,46571000,15328000,"Stærevej 1, 6705 Esbjerg Ø"
"5741","https://www.proff.dk/firma/kemira-oyj/kastrup/kemikalier-og-kemiske-varer/GT1BLHI00PQ/","Chemical Technologies","Kemira Oyj",NA,0,0,NA,"Amager Strandvej 390, st., 2770 Kastrup"
"5751","https://www.proff.dk/firma/r2-food-production/silkeborg/kemikalier-og-kemiske-varer/GTCBDFI00PQ/","Chemical Technologies","R2 Food Production",2011,NA,42587000,10290000,"Sejlingvej 38, 8600 Silkeborg"
"5761","https://www.proff.dk/firma/gojo-industries-europe-ltd./herlev/kemikalier-og-kemiske-varer/GTELA8I00PQ/","Chemical Technologies","Gojo Industries - Europe Ltd.",NA,0,0,NA,"Lyskær 3C, 1. tv., 2730 Herlev"
"5771","https://www.proff.dk/firma/unilever-produktion-aps-odense/odense-c/kemikalier-og-kemiske-varer/GTEUR7I00PQ/","Chemical Technologies","Unilever Produktion ApS (Odense)",2011,72,37548000,1742000,"Petersmindevej 30, 5000 Odense C"
"5781","https://www.proff.dk/firma/daka-denmark-as/l%C3%B8sning/kemikalier-og-kemiske-varer/GTH5AYI00PQ/","Chemical Technologies","Daka Denmark A/S",2011,23,320340000,205777000,"Dakavej 6, 8723 Løsning"
"5791","https://www.proff.dk/firma/ilbjerg-fyrv%C3%A6rkeri-fabrik-aps/roslev/kemikalier-og-kemiske-varer/GTHAGTI00PQ/","Chemical Technologies","Ilbjerg Fyrværkeri Fabrik ApS",2011,NA,31000,-22000,"Ilbjergvej 6, 7870 Roslev"
"5801","https://www.proff.dk/firma/dan-g%C3%B8dning-tankanl%C3%A6g-nyk%C3%B8bing-falster/nyk%C3%B8bing-f/kemikalier-og-kemiske-varer/GWF055I00PQ/","Chemical Technologies","Dan Gødning, Tankanlæg Nykøbing Falster",2016,NA,5906000,9750000,"Tankgade 7, 4800 Nykøbing F"
"5811","https://www.proff.dk/firma/vitalaire/tylstrup/kemikalier-og-kemiske-varer/GWGJP6I00PQ/","Chemical Technologies","Vitalaire",2016,14,146819000,14075000,"Bilgårdsvej 23, 9382 Tylstrup"
"5821","https://www.proff.dk/firma/s%C3%A6befabrikken-as/nyk%C3%B8bing-f/kemikalier-og-kemiske-varer/GWHSDRI00PQ/","Chemical Technologies","Sæbefabrikken A/S",2016,1,51759000,31164000,"Aarhusvej 5, 4800 Nykøbing F"
"5831","https://www.proff.dk/firma/s%C3%A6befabrikken-as/nyk%C3%B8bing-f/kemikalier-og-kemiske-varer/GWHSFKI00PQ/","Chemical Technologies","Sæbefabrikken A/S",2016,1,51759000,31164000,"Aalborgvej 10, 4800 Nykøbing F"
"5841","https://www.proff.dk/firma/nouchi-ivs-under-tvangsopl%C3%B8sning/asaa/kemikalier-og-kemiske-varer/GWL9WLI00PQ/","Chemical Technologies","Nouchi IVS  Under Tvangsopløsning",2017,NA,-36000,-37000,"Lodsgade 19, 9340 Asaa"
"5851","https://www.proff.dk/firma/everfuel-as/herning/kemikalier-og-kemiske-varer/GWM10HI00PQ/","Chemical Technologies","Everfuel A/S",2017,42,951000,-587000,"Ø. Høgildvej 4A, 7400 Herning"
"5861","https://www.proff.dk/firma/oterra-as/hvidovre/kemikalier-og-kemiske-varer/GWN0FUI00PQ/","Chemical Technologies","Oterra A/S",2017,62,354277000,-69593000,"Hammerholmen 17, 2650 Hvidovre"
"5871","https://www.proff.dk/firma/amalie-rosalie/fredericia/kemikalier-og-kemiske-varer/GWNL1AI00PQ/","Chemical Technologies","Amalie Rosalie",NA,0,0,NA,"Jernbanegade 9, st. tv., 7000 Fredericia"
"5881","https://www.proff.dk/firma/nippon-gases-danmark-as/fredericia/kemikalier-og-kemiske-varer/GWNXQ2I00PQ/","Chemical Technologies","Nippon Gases Danmark A/S",2017,NA,123200000,52512000,"Depotvej 4, 7000 Fredericia"
"5891","https://www.proff.dk/firma/nordic-formulation-technology-as/hellerup/kemikalier-og-kemiske-varer/GWP1QRI00PQ/","Chemical Technologies","Nordic Formulation Technology A/S",2017,NA,5909000,2490000,"Søholm Park 1, 2900 Hellerup"
"5901","https://www.proff.dk/firma/chr.-hansen-as/h%C3%B8rsholm/kemikalier-og-kemiske-varer/GWQDGYI00PQ/","Chemical Technologies","Chr. Hansen A/S",2017,108,3272590000,1001076000,"Kogle Alle 6, 2970 Hørsholm"
"5911","https://www.proff.dk/firma/chr.-hansen-as/hvidovre/kemikalier-og-kemiske-varer/GWQFYOI00PQ/","Chemical Technologies","Chr. Hansen A/S",2017,1,3272590000,1001076000,"Hammerholmen 17, 2650 Hvidovre"
"5921","https://www.proff.dk/firma/knud-e.-dan-as/vejle-%C3%B8st/kemikalier-og-kemiske-varer/GWVLWDI00PQ/","Chemical Technologies","Knud E. Dan A/S",2017,2,10354000,1856000,"Håndværkervej 3A, 7120 Vejle Øst"
"5931","https://www.proff.dk/firma/baldacci-as/kongens-lyngby/kemikalier-og-kemiske-varer/GWZ2QOI00PQ/","Chemical Technologies","Baldacci A/S",2017,8,7237000,3547000,"Engelsborgvej 31, 2800 Kongens Lyngby"
"5941","https://www.proff.dk/firma/umicore-denmark-aps/frederikssund/kemikalier-og-kemiske-varer/GX0O2YI00PQ/","Chemical Technologies","Umicore Denmark ApS",2017,18,88345000,-57052000,"Heimdalsvej 4, 3600 Frederikssund"
"5951","https://www.proff.dk/firma/motip-dupli-b.v./herlev/kemikalier-og-kemiske-varer/GX5378I00PQ/","Chemical Technologies","Motip Dupli B.V.",NA,0,0,NA,"Lyskær 3C, 1. tv., 2730 Herlev"
"5961","https://www.proff.dk/firma/s%C3%A6befabrikken-as/nyk%C3%B8bing-f/kemikalier-og-kemiske-varer/GX89EBI00PQ/","Chemical Technologies","Sæbefabrikken A/S",2017,NA,51759000,31164000,"Møllebakken 3, 4800 Nykøbing F"
"5971","https://www.proff.dk/firma/bb-administration-og-udvikling/hals/kemikalier-og-kemiske-varer/GX9GAYI00PQ/","Chemical Technologies","B&amp;B Administration og Udvikling",NA,0,0,NA,"Rørholtvej 71, 9370 Hals"
"5981","https://www.proff.dk/firma/igp-scandinavia-filial-af-igp-scandinavia-ab-sverige/herlev/kemikalier-og-kemiske-varer/GXAO4TI00PQ/","Chemical Technologies","Igp Scandinavia, Filial af Igp Scandinavia Ab, Sverige",2018,2,39000,39000,"Lyskær 3C, 1. tv., 2730 Herlev"
"5991","https://www.proff.dk/firma/strandm%C3%B8llen-as/esbjerg-%C3%B8/kemikalier-og-kemiske-varer/GXK1BAI00PQ/","Chemical Technologies","Strandmøllen A/S",2019,NA,84647000,21371000,"Lunde Hovedvej 51, 6705 Esbjerg Ø"
"6001","https://www.proff.dk/firma/ilbjerg-fyrv%C3%A6rkeri-fabrik-aps/n%C3%B8rresundby/kemikalier-og-kemiske-varer/GXPF9BI00PQ/","Chemical Technologies","Ilbjerg Fyrværkeri Fabrik ApS",2018,NA,31000,-22000,"Smedien 93, 1., 9400 Nørresundby"
"6011","https://www.proff.dk/firma/linde-gas-as/vejle-%C3%B8st/kemikalier-og-kemiske-varer/GXR3KCI00PQ/","Chemical Technologies","Linde Gas A/S",2019,4,177637000,67177000,"Nimvej 5, 7120 Vejle Øst"
"6021","https://www.proff.dk/firma/mirabilis-ivs-under-tvangsopl%C3%B8sning/viborg/kemikalier-og-kemiske-varer/GXRVNSI00PQ/","Chemical Technologies","Mirabilis IVS  Under Tvangsopløsning",2018,NA,39000,0,"Sct. Ibs Gade 34B, 8800 Viborg"
"6031","https://www.proff.dk/firma/riemann-as/h%C3%B8rsholm/kemikalier-og-kemiske-varer/GXS5EPI00PQ/","Chemical Technologies","Riemann A/S",2019,8,37705000,7319000,"Venlighedsvej 10, 2970 Hørsholm"
"6041","https://www.proff.dk/firma/jun-grooming-ivs-under-tvangsopl%C3%B8sning/k%C3%B8benhavn-k/kemikalier-og-kemiske-varer/GXVUK8I00PQ/","Chemical Technologies","Jun Grooming IVS  Under Tvangsopløsning",2019,NA,-3000,-3000,"Kronprinsessegade 44, 4. th., 1306 København K"
"6051","https://www.proff.dk/firma/b6-nordic-as/s%C3%A6by/kemikalier-og-kemiske-varer/GYY626I00PQ/","Chemical Technologies","B6 Nordic A/S",2020,3,17617000,622000,"Tranåsvej 7, 9300 Sæby"
"6061","https://www.proff.dk/firma/b6-nordic-as/s%C3%A6by/kemikalier-og-kemiske-varer/GYY62EI00PQ/","Chemical Technologies","B6 Nordic A/S",2020,NA,17617000,622000,"Tranåsvej 12, 9300 Sæby"
"6071","https://www.proff.dk/firma/b6-nordic-as/s%C3%A6by/kemikalier-og-kemiske-varer/GYY62MI00PQ/","Chemical Technologies","B6 Nordic A/S",2020,NA,17617000,622000,"Tranåsvej 12, 9300 Sæby"
"6081","https://www.proff.dk/firma/chr.-hansen-as/kalundborg/kemikalier-og-kemiske-varer/GZ5VI5I00PQ/","Chemical Technologies","Chr. Hansen A/S",2020,9,3272590000,1001076000,"Juelsmindevej 5, 4400 Kalundborg"
"6091","https://www.proff.dk/firma/bhj-as/m%C3%B8ldrup/kemikalier-og-kemiske-varer/GZBWD8I00PQ/","Chemical Technologies","BHJ A/S",2020,14,188426000,76306000,"Hobrovej 1C, 1., 9632 Møldrup"
"6101","https://www.proff.dk/firma/woca-denmark-as-tv8/lunderskov/kemikalier-og-kemiske-varer/GZFOJTI00PQ/","Chemical Technologies","Woca Denmark A/S - Tv8",2021,NA,62455000,23913000,"Tværvej 8, 6640 Lunderskov"
"6111","https://www.proff.dk/firma/yummi-haircare-aps/roslev/kemikalier-og-kemiske-varer/GZHUFAI00PQ/","Chemical Technologies","Yummi Haircare ApS",NA,0,0,NA,"Elmevej 16, 7870 Roslev"
"6121","https://www.proff.dk/firma/coatable-as/hemmet/kemikalier-og-kemiske-varer/GZPCHZI00PQ/","Chemical Technologies","Coatable A/S",NA,0,0,NA,"Anerbjergevej 46A, 6893 Hemmet"
"6131","https://www.proff.dk/firma/alumichem-as/birker%C3%B8d/kemikalier-og-kemiske-varer/GZPVC0I00PQ/","Chemical Technologies","Alumichem A/S",2021,2,5362000,439000,"Blokken 38, 3460 Birkerød"
"6141","https://www.proff.dk/firma/alaska-as/rudk%C3%B8bing/kemikalier-og-kemiske-varer/GZQJ0DI00PQ/","Chemical Technologies","Alaska A/S",2021,NA,17930000,5786000,"Dunsbjergvej 20, 5900 Rudkøbing"
"6151","https://www.proff.dk/firma/everfuel-as/fredericia/kemikalier-og-kemiske-varer/GZVGI3I00PQ/","Chemical Technologies","Everfuel A/S",2021,NA,-14000,-24000,"Erritsø Møllebanke 10, 7000 Fredericia"
"6161","https://www.proff.dk/firma/everfuel-as/fredericia/kemikalier-og-kemiske-varer/GZVKWLI00PQ/","Chemical Technologies","Everfuel A/S",2021,8,951000,-587000,"Erritsø Møllebanke 10, 7000 Fredericia"
"6171","https://www.proff.dk/firma/norfalk-foulum/tjele/kemikalier-og-kemiske-varer/H01C9FI00PQ/","Chemical Technologies","Norfalk Foulum",NA,0,0,NA,"Niels Pedersens Alle 2, 8830 Tjele"
"6181","https://www.proff.dk/firma/alfix-as/kolding/kemikalier-og-kemiske-varer/GKUUZII00PQ/","Chemical Technologies","Alfix A/S",1984,52,66467000,38128000,"H.C. Ørsteds Vej 11-13, 6000 Kolding"
"6191","https://www.proff.dk/firma/efapaint-as-tidl.-esbjerg-farve-lakfabrik-as/esbjerg/kemikalier-og-kemiske-varer/GJY77OI00PQ/","Chemical Technologies","EFApaint A/S - tidl. Esbjerg Farve- &amp; Lakfabrik A/S",1991,41,29917000,7684000,"Energivej 13, 6700 Esbjerg"
"6201","https://www.proff.dk/firma/hanja-plast-aps/hornsyld/kemikalier-og-kemiske-varer/GQGSKEI00PQ/","Chemical Technologies","Hanja Plast ApS",2005,4,1647000,413000,"Hornsyld Industrivej 3, 8783 Hornsyld"
"6211","https://www.proff.dk/firma/alkymea-terapeut-artikler-vjeanet-elvang/s%C3%B8nderborg/kemikalier-og-kemiske-varer/06JC92I00PQ/","Chemical Technologies","ALKYMEA - TERAPEUT ARTIKLER V/JEANET ELVANG",NA,0,0,NA,"Alsgade 39, 6400 Sønderborg"
"6221","https://www.proff.dk/firma/filmfotograf-dirk-bryel-vdirk-van-cappellen-br%C3%BCel/gilleleje/kemikalier-og-kemiske-varer/06NWM8I00PQ/","Chemical Technologies","Filmfotograf Dirk Bryel v/Dirk van Cappellen Brüel",NA,0,0,NA,"Østergade 32 A, 3250 Gilleleje"
"6231","https://www.proff.dk/firma/softsmoked/n%C3%A6stved/kemikalier-og-kemiske-varer/07LEL8I00PQ/","Chemical Technologies","SoftSmoked",NA,0,0,NA,"Fjordbakken 36, 4700 Næstved"
"6241","https://www.proff.dk/firma/skovgaard-og-frydensberg-vdirch-birger-madsen/hvidovre/kemikalier-og-kemiske-varer/07VSB5I00PQ/","Chemical Technologies","Skovgaard og Frydensberg v/Dirch Birger Madsen",NA,0,0,NA,"Gadestævnet 6, 2650 Hvidovre"
"6251","https://www.proff.dk/firma/elizabeth-l%C3%B8vegal-naturpleje/s%C3%B8borg/kemikalier-og-kemiske-varer/082JJZI00PQ/","Chemical Technologies","ELIZABETH LØVEGAL NATURPLEJE",NA,0,0,NA,"Rosenkæret 14, 2860 Søborg"
"6261","https://www.proff.dk/firma/morten-krogager-nielsen/thyholm/kemikalier-og-kemiske-varer/090K29I00PQ/","Chemical Technologies","Morten Krogager-Nielsen",NA,0,0,NA,"Grøndalvej 17, 7790 Thyholm"
"6271","https://www.proff.dk/firma/gekko-vmartin-nielsen/stenlille/kemikalier-og-kemiske-varer/09KCS6I00PQ/","Chemical Technologies","GEKKO V/MARTIN NIELSEN",NA,0,0,NA,"Tjørntvedvej 16, 4295 Stenlille"
"6281","https://www.proff.dk/firma/plasteel-vniels-j%C3%B8rgen-jacobsen/sveb%C3%B8lle/kemikalier-og-kemiske-varer/09L0MOI00PQ/","Chemical Technologies","PLASTEEL V/NIELS JØRGEN JACOBSEN",NA,0,0,NA,"Stendyssevej 8, 4470 Svebølle"
"6291","https://www.proff.dk/firma/s%C3%A6bev%C3%A6rkstedet-vlone-sarto-pedersen/karlslunde/kemikalier-og-kemiske-varer/0A5CQAI00PQ/","Chemical Technologies","Sæbeværkstedet v/Lone Sarto Pedersen",NA,0,0,NA,"Motorgangen 2-4, 2690 Karlslunde"
"6301","https://www.proff.dk/firma/ceratech-is/m%C3%A5l%C3%B8v/kemikalier-og-kemiske-varer/0FOAGJI00PQ/","Chemical Technologies","CeraTech I/S",NA,0,0,NA,"Søndergårds Allé 77, 2760 Måløv"
"6311","https://www.proff.dk/firma/t.j-manpower/faaborg/kemikalier-og-kemiske-varer/0FRW16I00PQ/","Chemical Technologies","T.J manpower",NA,0,0,NA,"Mellemgade 14 1, 5600 Faaborg"
"6321","https://www.proff.dk/firma/euro-engineering-v-steen-jensen/aller%C3%B8d/kemikalier-og-kemiske-varer/0FU6MHI00PQ/","Chemical Technologies","Euro-Engineering v/ Steen Jensen",NA,0,0,NA,"Kirkeltevej 34, 3450 Allerød"
"6331","https://www.proff.dk/firma/badeanstalten/n%C3%B8rresundby/kemikalier-og-kemiske-varer/0FUIE6I00PQ/","Chemical Technologies","Badeanstalten",NA,0,0,NA,"Voerbjergvej 40, 9400 Nørresundby"
"6341","https://www.proff.dk/firma/akstotal-vallan-schmidt/gadstrup/kemikalier-og-kemiske-varer/0FWU59I00PQ/","Chemical Technologies","AKStotal v/Allan Schmidt",NA,0,0,NA,"Fruervej 9, 4621 Gadstrup"
"6351","https://www.proff.dk/firma/nuuii-innovation/risskov/kemikalier-og-kemiske-varer/0G90OAI00PQ/","Chemical Technologies","nuuii innovation",NA,0,0,NA,"Vestre Skovvej 14, 8240 Risskov"
"6361","https://www.proff.dk/firma/the-unix-company/horsens/kemikalier-og-kemiske-varer/0GGUI8I00PQ/","Chemical Technologies","The Unix Company",NA,0,0,NA,"Ole Worms Gade 1 A 1 tv, 8700 Horsens"
"6371","https://www.proff.dk/firma/sussie/n%C3%A6stved/kemikalier-og-kemiske-varer/0GKSJGI00PQ/","Chemical Technologies","Sussie",NA,0,0,NA,"Bogensevej 41 2 th, 4700 Næstved"
"6381","https://www.proff.dk/firma/cornelias-v%C3%A6rksted/kalundborg/kemikalier-og-kemiske-varer/0GWJGVI00PQ/","Chemical Technologies","Cornelias Værksted",NA,0,0,NA,"Bag Slotsgraven 6, 4400 Kalundborg"
"6391","https://www.proff.dk/firma/development-group/svenstrup-j/kemikalier-og-kemiske-varer/0H7MD3I00PQ/","Chemical Technologies","Development Group",NA,0,0,NA,"Vesterhedenvej 66, 9230 Svenstrup J"
"6401","https://www.proff.dk/firma/dansk-kedel-kemi-vmichael-t.-hvid/harndrup/kemikalier-og-kemiske-varer/0H9QBWI00PQ/","Chemical Technologies","Dansk Kedel-Kemi v/Michael T. Hvid",NA,0,0,NA,"Skydsbjergvej 26, 5463 Harndrup"
"6411","https://www.proff.dk/firma/my-aura/ringsted/kemikalier-og-kemiske-varer/0HEXEII00PQ/","Chemical Technologies","My Aura",NA,0,0,NA,"Vinkelstræde 5, 4100 Ringsted"
"6421","https://www.proff.dk/firma/made-by-no%C3%AA/farum/kemikalier-og-kemiske-varer/0HJBLHI00PQ/","Chemical Technologies","Made By Noê",NA,0,0,NA,"Nygårdterrasserne 276 E, 3520 Farum"
"6431","https://www.proff.dk/firma/dlc-af-2006-aps/k%C3%B8benhavn-%C3%B8/kemikalier-og-kemiske-varer/0HQTFCI00PQ/","Chemical Technologies","DLC AF 2006 ApS",2006,NA,0,0,"Landskronagade 48 A, 2100 København Ø"
"6441","https://www.proff.dk/firma/s%C3%A6belaboratoriet/beder/kemikalier-og-kemiske-varer/0HS7PZI00PQ/","Chemical Technologies","Sæbelaboratoriet",NA,0,0,NA,"Stationsvej 17, 8330 Beder"
"6451","https://www.proff.dk/firma/wicked-event/frederikshavn/kemikalier-og-kemiske-varer/0HTJ6CI00PQ/","Chemical Technologies","Wicked-event",NA,0,0,NA,"Århusgade 40, 9900 Frederikshavn"
"6461","https://www.proff.dk/firma/liquid-vanity-vdan-m%C3%B8nster-nielsen/ebeltoft/kemikalier-og-kemiske-varer/0HY1XGI00PQ/","Chemical Technologies","Liquid Vanity v/Dan Mønster Nielsen",NA,0,0,NA,"Bøgebjerg 2 2 4, 8400 Ebeltoft"
"6471","https://www.proff.dk/firma/hagmans-kemi-ab/t%C3%B8rring/kemikalier-og-kemiske-varer/0I1CRZI00PQ/","Chemical Technologies","Hagmans Kemi AB",NA,0,0,NA,"Viborgvej 28, 7160 Tørring"
"6481","https://www.proff.dk/firma/treatme/borup/kemikalier-og-kemiske-varer/0I2UHPI00PQ/","Chemical Technologies","Treat:me",NA,0,0,NA,"Kløvestedvej 11, 4140 Borup"
"6491","https://www.proff.dk/firma/maria-kirken-vlisbet-linnet/n%C3%A6stved/kemikalier-og-kemiske-varer/0I3HH0I00PQ/","Chemical Technologies","Maria Kirken v/Lisbet Linnet",NA,0,0,NA,"Nygade 17, 4700 Næstved"
"6501","https://www.proff.dk/firma/detector-vest-vjohn-orfelt/fur/kemikalier-og-kemiske-varer/0I4VUJI00PQ/","Chemical Technologies","Detector Vest v/John Orfelt",NA,0,0,NA,"Anshedevej 2, 7884 Fur"
"6511","https://www.proff.dk/firma/birk-bornholm/gudhjem/kemikalier-og-kemiske-varer/0IDO6SI00PQ/","Chemical Technologies","Birk Bornholm",NA,0,0,NA,"Vietsvej 12, 3760 Gudhjem"
"6521","https://www.proff.dk/firma/s%C3%A6bes%C3%B8ster/spentrup/kemikalier-og-kemiske-varer/0IO4E3I00PQ/","Chemical Technologies","SæbeSøster",NA,0,0,NA,"Toften 10, 8981 Spentrup"
"6531","https://www.proff.dk/firma/lashbox/holstebro/kemikalier-og-kemiske-varer/0IOVW3I00PQ/","Chemical Technologies","Lashbox",NA,0,0,NA,"Beringsvej 7, 7500 Holstebro"
"6541","https://www.proff.dk/firma/psykoterapi/vodskov/kemikalier-og-kemiske-varer/0IQFJSI00PQ/","Chemical Technologies","Psykoterapi",NA,0,0,NA,"Smalby 3, 9310 Vodskov"
"6551","https://www.proff.dk/firma/mea-vitacare/solr%C3%B8d-strand/kemikalier-og-kemiske-varer/0KR22UI00PQ/","Chemical Technologies","Mea Vitacare",NA,0,0,NA,"Strandgården 108, 2680 Solrød Strand"
"6561","https://www.proff.dk/firma/weilgaard-systue-kreativ-design/nyk%C3%B8bing-f/kemikalier-og-kemiske-varer/0KS6AYI00PQ/","Chemical Technologies","Weilgaard Systue &amp; Kreativ Design",NA,0,0,NA,"Bjørnevej 2, 4800 Nykøbing F"
"6571","https://www.proff.dk/firma/neda-malekzadeh-nohi/k%C3%B8benhavn-s/kemikalier-og-kemiske-varer/0KSCHHI00PQ/","Chemical Technologies","Neda Malekzadeh-Nohi",NA,0,0,NA,"Polensgade 14 st th, 2300 København S"
"6581","https://www.proff.dk/firma/skive-m%C3%B8lle-s%C3%A6be/skive/kemikalier-og-kemiske-varer/0KSVHOI00PQ/","Chemical Technologies","Skive Mølle Sæbe",NA,0,0,NA,"Møllegade 87, 7800 Skive"
"6591","https://www.proff.dk/firma/duftverket/herning/kemikalier-og-kemiske-varer/0KUJBII00PQ/","Chemical Technologies","Duftverket",NA,0,0,NA,"Holbækvej 26, 7400 Herning"
"6601","https://www.proff.dk/firma/lash-extensions-by-milla-jo/kastrup/kemikalier-og-kemiske-varer/0KWC97I00PQ/","Chemical Technologies","Lash Extensions by Milla Jo",NA,0,0,NA,"Amager Landevej 37 2, 2770 Kastrup"
"6611","https://www.proff.dk/firma/ulu.-care/narsaq/kemikalier-og-kemiske-varer/0KYU41I00PQ/","Chemical Technologies","Ulu. care",NA,0,0,NA,"Kaalip Aqqutaa, 3921 Narsaq"
"6622","https://www.proff.dk/firma/apples-of-idun/br%C3%B8nsh%C3%B8j/kemikalier-og-kemiske-varer/0L1FCXI00PQ/","Chemical Technologies","Apples of Idun",NA,0,0,NA,"Arildsgård 30 2 th, 2700 Brønshøj"
"6631","https://www.proff.dk/firma/aidian-oy/k%C3%B8benhavn-s/kemikalier-og-kemiske-varer/0L3GUKI00PQ/","Chemical Technologies","Aidian Oy",NA,0,0,NA,"Ørestads Boulevard 73, 2300 København S"
"6641","https://www.proff.dk/firma/swestep-ab/k%C3%B8benhavn-s/kemikalier-og-kemiske-varer/0L3OR3I00PQ/","Chemical Technologies","SWESTEP AB",NA,0,0,NA,"Gimles Allé 11, 2300 København S"
"6651","https://www.proff.dk/firma/fmc-international-switzerland-sarl/k%C3%B8benhavn-k/kemikalier-og-kemiske-varer/0L3RV0I00PQ/","Chemical Technologies","FMC International Switzerland Sarl",NA,0,0,NA,"Langebrogade 1, 1411 København K"
"6661","https://www.proff.dk/firma/biomin-gmbh/k%C3%B8benhavn-k/kemikalier-og-kemiske-varer/0L3T4NI00PQ/","Chemical Technologies","Biomin GmbH",NA,0,0,NA,"Skindergade 7, 1159 København K"
"6671","https://www.proff.dk/firma/motip-dupli-b.v./herlev/kemikalier-og-kemiske-varer/0L3TFDI00PQ/","Chemical Technologies","Motip Dupli B.V.",NA,0,0,NA,"Lyskær 3 C, 2730 Herlev"
"6681","https://www.proff.dk/firma/inuacare-is/br%C3%B8nderslev/kemikalier-og-kemiske-varer/0L3VQGI00PQ/","Chemical Technologies","Inuacare I/S",NA,0,0,NA,"Ålborgvej 14, 9700 Brønderslev"
"6691","https://www.proff.dk/firma/s%C3%A6begaarden/faaborg/kemikalier-og-kemiske-varer/0L7DCEI00PQ/","Chemical Technologies","Sæbegaarden",NA,0,0,NA,"Byvej 19, 5600 Faaborg"
"6701","https://www.proff.dk/firma/do-lah/k%C3%B8benhavn-v/kemikalier-og-kemiske-varer/0L8XBII00PQ/","Chemical Technologies","Do Lah",NA,0,0,NA,"Halmtorvet 38 st tv, 1700 København V"
"6711","https://www.proff.dk/firma/dankur/ringsted/kemikalier-og-kemiske-varer/0L9KOOI00PQ/","Chemical Technologies","Dankur",NA,0,0,NA,"Bakken 7, 4100 Ringsted"
"6721","https://www.proff.dk/firma/kalkbytrampedach.dk/gr%C3%A6sted/kemikalier-og-kemiske-varer/0LA2L0I00PQ/","Chemical Technologies","kalkbytrampedach.dk",NA,0,0,NA,"Mårumvej 1 B, 3230 Græsted"
"6731","https://www.proff.dk/firma/pyro-design/esbjerg-v/kemikalier-og-kemiske-varer/0LEXNHI00PQ/","Chemical Technologies","Pyro Design",NA,0,0,NA,"Jomfruens Kvarter 5, 6710 Esbjerg V"
"6741","https://www.proff.dk/firma/dare-copenhagen/v%C3%A6ggerl%C3%B8se/kemikalier-og-kemiske-varer/0LFBLWI00PQ/","Chemical Technologies","Dare Copenhagen",NA,0,0,NA,"Tornbladvej 14, 4873 Væggerløse"
"6751","https://www.proff.dk/firma/jepsen-plast-solutions/billund/kemikalier-og-kemiske-varer/0LFRV9I00PQ/","Chemical Technologies","Jepsen Plast Solutions",NA,0,0,NA,"Toften 67, 7190 Billund"
"6761","https://www.proff.dk/firma/smooth-landing/billund/kemikalier-og-kemiske-varer/0LI5XYI00PQ/","Chemical Technologies","Smooth Landing",NA,0,0,NA,"Markskellet 52, 7190 Billund"
"6771","https://www.proff.dk/firma/organic-beauty-aps/jelling/kemikalier-og-kemiske-varer/0LO1CWI00PQ/","Chemical Technologies","ORGANIC BEAUTY APS",2014,NA,39000,-6000,"Tofthøjvej 19, 7300 Jelling"
"6781","https://www.proff.dk/firma/sunoil-europe-aps/aalborg/kemikalier-og-kemiske-varer/0LQ9VLI00PQ/","Chemical Technologies","SUNOIL EUROPE ApS",2015,4,39000,263000,"Speditørvej 7, 9000 Aalborg"
"6791","https://www.proff.dk/firma/mellow-mind-aps/kolding/kemikalier-og-kemiske-varer/0LREURI00PQ/","Chemical Technologies","Mellow Mind ApS",2015,NA,39000,73000,"Søgade 49, 6000 Kolding"
